,zone,radius,logRho,logT,logL,log_Lrad,log_Ledd,mass,logP,log_g,velocity,v_rot,conv_vel,opacity,mu,dm,x_mass_fraction_H,y_mass_fraction_He,z_mass_fraction_metals,eps_grav,net_nuclear_energy,h1,he3,he4,c12,n14,o16,ne20,mg24,fe56
1,1.0,146.32953936431952,-8.49310179160065,3.4970627449566467,3.2723973175514875,3.2723973175514875,6.979682290523409,0.7356849977110944,2.796322891116946,-0.02608275764331836,0.0,0.0,0.0,0.0010036638841988234,1.3384575427815906,7.317122987227146e+20,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7504500703961431,0.0,0.6798356552373789,0.0013666761375686165,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
2,2.0,146.32953936180905,-8.493101790965511,3.497062745048412,3.2723973175514875,3.2723973175514875,6.979682290523409,0.7356849977107265,2.7963228918509198,-0.0260827576286338,0.0,0.0,0.0,0.0010036638853726928,1.3384575427594128,2.195136896168224e+21,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.750450068428681,0.0,0.6798356552373789,0.0013666761375686165,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
3,3.0,146.32953935427724,-8.49310178845473,3.4970627454111702,3.2723973175514875,3.2723973175514875,6.9796822897608415,0.7356849977096231,2.7963228947524135,-0.02608275758457755,0.0,0.0,0.0,0.001003663890013163,1.3384575426717398,9.375063827384942e+21,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7504500597189334,0.0,0.6798356552373789,0.0013666761375686165,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
4,4.0,146.32953932210995,-8.493101780574536,3.497062746549702,3.272397317551488,3.272397317551488,6.979682286504029,0.73568499770491,2.796322903858879,-0.026082757396419853,0.0,0.0,0.0,0.0010036639045774855,1.3384575423965752,2.6938481325803605e+22,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7504500323829213,0.0,0.6798356552373789,0.0013666761375686165,0.29872823680701627,0.003024992661955512,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
5,5.0,146.32953922968073,-8.493101757821337,3.4970627498370885,3.2723973175514893,3.2723973175514893,6.979682277145837,0.7356849976913676,2.7963229301528005,-0.02608275685576908,0.0,0.0,0.0,0.0010036639466303682,1.338457541602066,7.791293405425148e+22,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7504499534532119,0.0,0.6798356552373789,0.0013666761375686165,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
6,6.0,146.32953896235057,-8.493101714404661,3.497062756109939,3.272397317551493,3.272397317551493,6.979682250079581,0.7356849976521997,2.7963229803257343,-0.026082755292061437,0.0,0.0,0.0,0.0010036640268738992,1.338457540086019,1.2216005713750585e+23,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.750449802842944,0.0,0.6798356552373789,0.0013666761375686167,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
7,7.0,146.32953854320368,-8.493101661386179,3.497062763770062,3.272397317551498,3.272397317551498,6.979682207642257,0.7356849975907881,2.7963230415946545,-0.026082752840324828,0.0,0.0,0.0,0.0010036641248637255,1.3384575382346902,1.2216005713750585e+23,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7504496189244741,0.0,0.6798356552373789,0.0013666761375686167,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
8,8.0,146.3295381240563,-8.49310157774893,3.497062775853995,3.272397317551504,3.272397317551504,6.979682165204918,0.7356849975293764,2.796323138247064,-0.02608275038858526,0.0,0.0,0.0,0.001003664279443868,1.338457535314198,2.6325771784074475e+23,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7504493287910934,0.0,0.6798356552373789,0.0013666761375686165,0.29872823680701627,0.003024992661955512,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
9,9.0,146.32953722078383,-8.49310142609577,3.4970627977648943,3.2723973175515155,3.2723973175515155,6.979682073751445,0.7356849973970329,2.796323313499653,-0.0260827451050289,0.0,0.0,0.0,0.0010036645597327994,1.3384575300186872,4.355917496584143e+23,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7504488027139176,0.0,0.6798356552373789,0.0013666761375686165,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
10,10.0,146.32953572621156,-8.493101170181049,3.497062834739566,3.2723973175515355,3.2723973175515355,6.979681922430493,0.7356849971780546,2.7963236092384367,-0.026082736362753302,0.0,0.0,0.0,0.0010036650327213525,1.338457521082508,7.437174807618512e+23,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7504479149587784,0.0,0.6798356552373789,0.0013666761375686165,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
